bus,id,min generation,max generation,linear cost coefficient
1485,1,20.53,100,46.2039
1486,1,20.53,100,37.9244
1488,1,0.8,100,46.522
1505,1,14.23,100,27.0874
1514,1,24.28,100,28.7692
1516,1,25.86,100,29.2549
1517,1,34.27,200,44.263
1518,1,34.27,200,26.4588
1519,1,33.43,200,26.5537
1520,1,33.43,200,35.4479
1521,1,49,200,30.0972
1526,1,14.67,100,29.5829
1532,1,13.47,100,48.122
1534,1,65.01,200,21.11
1546,1,100,400,36.9265
1552,1,200,800,15.7693
1553,1,24.09,100,17.4284
1556,1,21.05,100,16.5533
1557,1,21.05,100,44.9477
1558,1,21.05,100,25.5984
1559,1,200,900,26.8402
1560,1,21.71,100,36.1149
1561,1,100,500,43.0203
1562,1,2.33,100,39.0617
1577,1,24.97,100,42.2069
1586,1,65.21,200,29.6142
1587,1,65.21,200,31.244
1594,1,29.87,100,24.0245
1599,1,2.56,100,31.054
1606,1,54.97,200,51.8743
1627,1,100,500,33.2195
1629,1,17.52,100,31.5668
1631,1,100,600,19.7612
1636,1,13.86,100,39.7618
1640,1,7,100,12.9926
1641,1,17.55,100,40.9175
1642,1,8.1,100,24.5988
1644,1,9.3,100,23.7334
1656,1,400,1400,14.56
1661,1,400,1300,28.5247
1662,1,17.37,100,39.2768
1675,1,400,1300,17.9602
1685,1,13.33,100,53.9876
1689,1,500,1600,19.2236
1701,1,26.99,100,23.1717
1726,1,400,1300,24.4879
1731,1,27.87,100,17.4721
1732,1,37.5,200,42.4414
1734,1,100,400,43.8
1735,1,100,400,35.1637
1749,1,20.85,100,35.7644
1750,1,200,700,27.1914
1751,1,200,700,16.9574
1757,1,18.13,100,50.3292
1763,1,16.56,100,20.209
1764,1,12.45,100,46.2937
1770,1,64.75,200,15.4582
1772,1,64.75,200,29.5808
1774,1,54.21,200,11.2819
1791,1,20.09,100,41.5434
1794,1,24.07,100,20.0759
1796,1,100,500,68.4662
1801,1,65.37,200,31.5269
1803,1,18.43,100,46.3402
1805,1,20.01,100,54.1556
1807,1,20.01,100,24.171
1808,1,18.43,100,25.1952
1812,1,54.59,200,27.6213
1813,1,24.82,100,24.4829
1815,1,15.97,100,38.9139
1816,1,16.63,100,57.9767
1821,1,100,400,45.5003
1822,1,100,500,30.6268
1831,1,19.31,100,29.2211
1834,1,9.99,100,31.507
1836,1,2.39,100,29.8665
1839,1,48.31,200,18.192
1840,1,200,700,29.3619
1845,1,57.5,200,30.1074
1851,1,200,700,8.06905
1853,1,25.2,100,33.5027
1868,1,76,300,33.6217
1869,1,38.08,200,38.0479
1876,1,37.03,200,33.686
1877,1,37.03,200,23.5647
1878,1,37.03,200,40.0412
1879,1,37.03,200,42.5253
1880,1,37.03,200,18.1096
1881,1,37.03,200,24.5936
1882,1,30.84,100,31.8611
1883,1,30.84,100,11.3309
1884,1,30.84,100,42.8019
1889,1,22.65,100,28.6937
1895,1,15.67,100,36.4833
1896,1,26.62,100,37.5158
1903,1,3.47,100,12.065
1906,1,16.67,100,27.7064
1907,1,12.07,100,50.8242
1913,1,54.41,200,27.4626
1914,1,54.41,200,35.6659
1928,1,11.03,100,41.7755
1932,1,200,900,7.70915
1935,1,11.97,100,35.37
1936,1,11.97,100,15.9787
1940,1,100,500,19.5881
1949,1,-40.28,100,22.1034
1955,1,43.47,200,28.4275
1957,1,8.54,100,44.7784
1959,1,7.17,100,119.11
1960,1,14.9,100,51.2682
1961,1,11.67,100,32.2006
1963,1,45.53,200,50.5107
1966,1,33.56,200,26.017
1967,1,33.56,200,6.67167
1969,1,44.43,200,32.8473
1972,1,24.28,100,31.8957
1985,1,40.2,200,19.4315
1988,1,17.15,100,34.1067
1995,1,200,700,20.3972
1997,1,500,1800,37.628
1999,1,23.77,100,28.9937
2000,1,23.77,100,42.8139
2001,1,26.08,100,49.7851
2003,1,20.47,100,36.4414
2004,1,20.47,100,28.6699
2005,1,20.47,100,27.9677
2006,1,19.37,100,40.007
2011,1,23.77,100,50.3058
2012,1,36.21,200,37.0149
2013,1,36.21,200,16.228
2014,1,36.21,200,40.4998
2020,1,36.21,200,36.9602
2042,1,-190.77,100,22.3964
2047,1,100,600,23.7088
2048,1,14.67,100,46.6471
2053,1,100,600,16.4708
2063,1,17.26,100,19.7326
2066,1,39.67,200,34.7353
2067,1,-799.99,100,17.6758
2069,1,100,400,52.481
2071,1,61.87,200,49.3183
2080,1,60.32,200,37.8556
2082,1,39.05,200,29.6494
2084,1,200,700,6.31576
2085,1,39.05,200,48.0167
2086,1,39.05,200,34.215
2090,1,100,600,19.6873
2091,1,100,600,28.7281
2093,1,100,600,30.7581
2097,1,100,400,18.9495
2102,1,13.59,100,49.1836
2106,1,100,400,27.54
2107,1,12.73,100,47.7623
2119,1,400,1300,28.5502
2122,1,16.8,100,52.1134
2131,1,29.4,100,38.5152
2135,1,400,1300,7.10329
2136,1,400,1300,23.2572
2137,1,400,1300,27.3969
2138,1,400,1300,16.2535
2139,1,38,200,28.9965
2143,1,100,500,57.708
2144,1,100,500,18.9825
2146,1,100,500,31.7119
2147,1,100,600,16.5152
2148,1,22.63,100,19.6369
2149,1,22.63,100,38.7228
2153,1,19.48,100,26.7827
2154,1,14.85,100,14.6871
2155,1,16.32,100,25.9191
2156,1,20.87,100,30.6111
2157,1,14.67,100,25.5427
2158,1,16.32,100,31.865
2166,1,14.3,100,25.5457
2167,1,21.15,100,28.3751
2172,1,49.85,200,19.979
2176,1,54.97,200,29.7829
2177,1,54.97,200,29.6715
2178,1,54.97,200,27.1582
2179,1,54.97,200,35.6996
2180,1,88.2,300,33.9862
2183,1,23.97,100,46.6524
2186,1,100,400,41.3353
2190,1,29.03,100,30.2894
2192,1,0.66,100,108.6
2197,1,100,500,32.1345
2198,1,64.6,200,24.7736
2205,1,5.29,100,22.1932
2210,1,18.13,100,40.2423
2215,1,18.25,100,36.6317
2222,1,16.94,100,35.2684
2223,1,15.36,100,35.2233
2236,1,35.99,200,40.6538
2237,1,29.87,100,30.5563
2242,1,24.07,100,13.4259
2246,1,16.02,100,24.9939
2247,1,21.3,100,30.1464
2248,1,21.3,100,34.5693
2249,1,21.3,100,30.4852
2252,1,21.3,100,27.1732
2253,1,20.01,100,49.8714
2260,1,90.67,300,32.5103
2266,1,-42.05,100,23.7333
2268,1,10,100,21.9671
2270,1,9.33,100,50.922
2278,1,3.47,100,50.6874
2282,1,21.15,100,38.3437
2283,1,21.15,100,21.2724
2284,1,21.15,100,41.6866
2285,1,21.15,100,24.2778
2286,1,100,400,21.0823
2287,1,100,400,42.1
2292,1,15.15,100,17.6166
2301,1,100,500,34.9753
2302,1,200,700,7.36129
2303,1,87.67,300,36.0871
2307,1,16.3,100,42.6608
2308,1,100,600,33.2358
2318,1,37.89,200,10.8647
2321,1,37.89,200,35.3428
2322,1,37.89,200,18.6376
2324,1,15.53,100,43.0425
2325,1,15.53,100,25.1952
2328,1,22.87,100,29.5474
2329,1,22.87,100,57.3656
2330,1,22.87,100,45.0607
2331,1,22.87,100,30.8305
2332,1,22.65,100,42.7692
2333,1,15.53,100,36.2979
2341,1,1.67,100,61.4749
2345,1,200,700,34.6113
2347,1,54.21,200,23.0888
2351,1,6.65,100,35.2825
2357,1,4.25,100,17.1187
2368,1,49.87,200,27.4914
2369,1,21.71,100,33.5434
2370,1,21.71,100,37.7771
2371,1,21.71,100,41.3508
2372,1,56.2,200,52.1308
2373,1,56.2,200,46.2363
2377,1,56.2,200,42.4479
2389,1,22.43,100,13.6144
2397,1,4.67,100,20.0364
2408,1,64.02,200,35.8137
2410,1,10.71,100,22.7878
2411,1,11.47,100,16.7592
2422,1,2.25,100,25.1179
2428,1,36.83,200,13.1114
2429,1,17.75,100,37.0563
2430,1,100,400,39.8406
2434,1,100,500,28.8016
2435,1,56.81,200,27.0102
2436,1,56.81,200,19.1609
2437,1,56.81,200,40.9419
2438,1,56.81,200,29.0853
2439,1,56.81,200,27.0286
2440,1,16.88,100,30.0115
2446,1,54.59,200,41.0354
2447,1,54.59,200,25.8499
2448,1,54.59,200,21.0108
2458,1,12.41,100,33.4851
2459,1,24.61,100,26.5578
2460,1,14.07,100,22.7364
2462,1,200,700,29.5918
2464,1,3.51,100,42.5903
2473,1,25.86,100,40.4597
2480,1,500,1800,18.1986
2481,1,500,1800,36.4514
2482,1,51.13,200,34.1128
2485,1,22.87,100,42.1944
2486,1,20.75,100,43.3391
2487,1,20.75,100,40.0831
2488,1,13.98,100,32.7282
2489,1,13.98,100,32.6276
2490,1,20.75,100,50.4348
2506,1,31.5,100,51.4311
2510,1,61.79,200,34.2493
2513,1,29.03,100,45.4434
2514,1,29.03,100,35.7896
2515,1,29.03,100,33.0944
2516,1,29.03,100,35.1814
2518,1,35.34,200,30.24
2526,1,0.6,100,0.971474
2533,1,63.16,200,38.2277
2534,1,60.3,200,31.3469
2539,1,300,1200,5.9316
2540,1,60.3,200,36.4504
2543,1,60.3,200,32.1344
2559,1,15.74,100,49.0727
2561,1,15.87,100,36.8678
2566,1,32.33,100,33.419
2569,1,100,400,32.6104
2571,1,60.3,200,59.2172
2572,1,63.16,200,29.4827
2573,1,63.16,200,30.5713
2577,1,60.3,200,29.2477
2584,1,100,400,32.0154
2592,1,100,500,22.862
2603,1,29.87,100,23.0401
2606,1,200,700,66.7925
2607,1,200,700,15.2718
2610,1,36.81,200,18.4256
2624,1,100,600,11.768
2625,1,100,500,23.1619
2627,1,100,600,30.7575
2635,1,27.87,100,36.9131
2642,1,37.21,200,34.3734
2645,1,24.48,100,53.7407
2646,1,33.55,200,19.5996
2647,1,33.96,200,14.5115
2650,1,63.67,200,49.6374
2651,1,63.67,200,18.0047
2652,1,65.27,200,26.3664
2653,1,65.27,200,35.0045
2654,1,65.27,200,26.8783
2655,1,65.27,200,24.7807
2656,1,65.27,200,33.5189
2657,1,65.27,200,18.6422
2662,1,25.44,100,24.1402
2666,1,17.15,100,25.9186
2667,1,17.15,100,29.8966
2669,1,17.15,100,49.0837
2670,1,53.19,200,30.6753
2676,1,22.76,100,47.6986
2681,1,60.32,200,29.8096
2687,1,24.88,100,40.1119
2688,1,26.77,100,32.7258
2690,1,24.88,100,51.0675
2691,1,3.51,100,47.5282
2693,1,13.27,100,22.7815
2694,1,13.27,100,28.0027
2695,1,30.8,100,38.0742
2698,1,24.53,100,20.4151
2700,1,18.13,100,28.8003
2702,1,11.11,100,39.3342
2703,1,20.72,100,26.3374
2705,1,20.72,100,16.9824
2708,1,17.99,100,42.4973
2711,1,18.34,100,37.5632
2712,1,32.73,100,29.5187
2717,1,71.34,300,10.119
2721,1,8.4,100,28.2254
2734,1,52.14,200,37.7982
2756,1,15,100,19.9451
2759,1,100,500,18.0991
2760,1,200,700,6.65301
2767,1,24.15,100,32.6451
2777,1,20.85,100,43.1728
2783,1,36.21,200,22.5054
2784,1,2.8,100,38.2701
2785,1,24.15,100,47.8498
2786,1,25.86,100,25.9446
2787,1,38.18,200,14.6528
2789,1,49.91,200,29.4665
2790,1,16.65,100,30.1052
2796,1,22.65,100,19.0105
2799,1,36.21,200,32.2217
2803,1,18.25,100,37.2821
2810,1,36.21,200,24.7181
2811,1,100,600,14.1437
2816,1,10,100,26.0494
2819,1,17.46,100,27.7732
2828,1,62.03,200,28.0402
2831,1,15.33,100,42.4228
2836,1,12.39,100,26.9524
2838,1,14.48,100,55.9209
2840,1,21.98,100,30.0641
2841,1,21.98,100,35.1031
2842,1,12.39,100,58.2758
2844,1,14.03,100,99.6996
2845,1,14.48,100,37.7307
2852,1,20,100,16.7397
2858,1,21.76,100,33.3139
2870,1,28.23,100,25.3752
2871,1,21.76,100,58.4842
2877,1,24.28,100,21.5521
2880,1,100,600,35.28
2881,1,100,600,32.1319
2894,1,200,800,109.263
2895,1,100,500,17.5353
2901,1,200,700,46.9462
2902,1,200,700,18.5291
2906,1,6.07,100,14.0319
2912,1,13.03,100,42.8668
2933,1,2.52,100,44.735
2934,1,100,500,29.8317
2950,1,-189.95,100,45.7804
2955,1,21.37,100,2.54777
2963,1,22.91,100,45.841
2964,1,23.71,100,37.6449
2968,1,24,100,19.572
2969,1,24,100,15.5248
2970,1,11.14,100,30.6295
2973,1,24,100,34.2475
2974,1,24,100,8.25415
2976,1,56.45,200,18.1372
2978,1,23.89,100,7.18926
2979,1,23.89,100,35.6082
2980,1,23.89,100,14.3656
2981,1,29.81,100,23.7833
2982,1,29.81,100,36.0881
2984,1,20.83,100,21.6395
2990,1,100,400,19.4798
2991,1,49.57,200,29.5039
2994,1,33.33,200,22.4152
3012,1,100,500,23.6669
3013,1,100,600,32.3055
3015,1,100,400,24.5289
3017,1,63.16,200,20.8481
3021,1,63.16,200,30.5503
3022,1,63.16,200,33.8702
3029,1,60.32,200,45.4836
3031,1,24.81,100,28.1211
3050,1,58.23,200,33.4819
3058,1,31.04,100,116.394
3061,1,18.59,100,33.9294
3062,1,18.59,100,37.7511
3063,1,19.57,100,23.4561
3065,1,100,600,19.8056
3068,1,500,1800,45.5237
3072,1,200,700,6.38277
3074,1,200,700,25.3662
3082,1,36.83,200,34.2307
3093,1,100,500,32.957
3094,1,100,400,35.9391
3095,1,200,800,42.9393
3096,1,100,400,35.2637
3097,1,200,800,31.7552
3098,1,200,800,35.2749
3100,1,100,500,14.1413
3101,1,100,500,30.224
3103,1,56.13,200,38.2855
3104,1,56.13,200,28.2643
3107,1,22.25,100,38.7454
3108,1,22.25,100,45.2439
3109,1,22.25,100,15.0364
3111,1,22.25,100,25.9211
3112,1,16.69,100,35.1427
3113,1,20.05,100,26.2965
3114,1,16.25,100,46.8047
3121,1,63.75,200,28.8014
3122,1,63.75,200,27.2291
3123,1,200,800,27.1272
3124,1,200,800,34.6413
3127,1,100,400,28.8822
3128,1,200,800,30.466
3130,1,200,800,34.0421
3134,1,54.87,200,51.3636
3135,1,54.87,200,22.6446
3136,1,54.87,200,38.5628
3137,1,54.87,200,16.2842
3139,1,58.23,200,40.204
3141,1,13.71,100,50.303
3142,1,13.71,100,51.3966
3143,1,21.9,100,24.8523
3145,1,60.21,200,33.7907
3146,1,27.87,100,35.8438
3148,1,4.91,100,54.8655
3152,1,200,700,32.4358
3154,1,59.82,200,35.097
3164,1,3.51,100,29.9918
3165,1,100,500,20.6284
3166,1,13.94,100,37.7479
3167,1,100,500,17.1499
3168,1,100,500,31.7914
3169,1,100,500,20.4517
3176,1,24.53,100,31.3036
3178,1,100,400,36.3259
3179,1,100,600,21.8551
3184,1,16.8,100,23.7533
3186,1,62.85,200,24.1766
3201,1,100,400,17.107
3206,1,16.9,100,34.7581
3210,1,40.05,200,38.699
3213,1,40.05,200,29.7601
3214,1,40.05,200,50.9003
3215,1,40.05,200,25.7223
3216,1,40.05,200,41.2851
3217,1,55.67,200,33.1456
3219,1,40.05,200,41.7122
3220,1,40.05,200,52.498
3224,1,100,500,20.9432
3225,1,24.88,100,38.2041
3228,1,10.85,100,29.2586
3233,1,24.88,100,39.172
3234,1,14.91,100,45.4378
3236,1,20.67,100,49.8549
3248,1,24.61,100,27.9275
3255,1,200,700,7.72355
3265,1,600,2000,42.336
3270,1,6.63,100,28.9668
3280,1,100,500,17.504
3282,1,57.74,200,24.0451
3283,1,57.74,200,36.4253
3284,1,57.74,200,29.0313
3292,1,28.86,100,26.2511
3294,1,100,500,37.1516
3296,1,48.41,200,31.4748
3297,1,30.92,100,15.7182
3298,1,30.92,100,36.9868
3299,1,30.92,100,39.8518
3306,1,30.92,100,15.7938
3307,1,30.92,100,22.8664
3308,1,25.61,100,12.4033
3309,1,25.61,100,21.5493
3323,1,19.22,100,28.7635
3325,1,16.48,100,37.9666
3326,1,16.48,100,41.7466
3327,1,17.81,100,51.6412
3328,1,17.81,100,17.1945
3329,1,62.03,200,19.8373
3330,1,14.08,100,37.8887
3334,1,14.75,100,16.9497
3335,1,14.75,100,28.8407
3336,1,14.75,100,19.3891
3337,1,14.75,100,48.617
3338,1,16.57,100,35.536
3339,1,14.75,100,24.491
3343,1,30.36,100,25.4247
3344,1,100,400,38.1701
3348,1,3.47,100,23.6531
3351,1,12.84,100,10.109
