from bus,to bus,id,reactance,lower line limit,upper line limit
4129,3715,1,0.01034,-3618,3618
5471,7106,1,0.02061,-1495,1495
5471,5434,1,0.040531,-767,767
8834,12770,1,0.00611,-6133,6133
8834,10744,1,0.00431,-8694,8694
7831,1467,1,0.01344,-2308,2308
7831,5173,1,0.019591,-1587,1587
10033,5005,1,0.01419,-2193,2193
10033,7387,1,0.0237,-1324,1324
9789,9848,1,0.00956,-3952,3952
9789,430,1,0.00877,-3581,3581
2916,1094,1,0.020651,-1511,1511
2916,2869,1,0.018781,-1646,1646
4142,3925,1,0.014909,-2082,2082
4142,2245,1,0.02451,-1269,1269
123,12854,1,0.0018,-17442,17442
123,12369,1,0.00261,-12048,12048
10806,12854,1,0.00176,-17833,17833
10806,1112,1,0.00255,-12329,12329
12593,9027,1,0.047413,-645,645
12593,455,1,0.027711,-1067,1067
3745,10922,1,0.00428,-7342,7342
3745,1898,1,0.00475,-6631,6631
6938,7640,1,0.00534,-5881,5881
6938,4543,1,0.00589,-5341,5341
4229,2024,1,0.02057,-1528,1528
4229,9388,1,0.00872,-3609,3609
5543,13575,1,0.01963,-1604,1604
5543,9388,1,0.00888,-3545,3545
2764,10638,1,0.00152,-20667,20667
2764,10338,1,0.00163,-19249,19249
7963,10638,1,0.0016,-19656,19656
7963,10338,1,0.00183,-17204,17204
5383,4802,1,0.01426,-2208,2208
5383,8035,1,0.01456,-2163,2163
663,204,1,0.00727,-4327,4327
663,6973,1,0.00734,-4285,4285
11598,204,1,0.00712,-4412,4412
11598,6973,1,0.00719,-4367,4367
2983,2257,1,0.0022,-14299,14299
2983,10869,1,0.0022,-14299,14299
411,4997,1,0.00215,-14626,14626
411,10869,1,0.00215,-14626,14626
8649,12423,1,0.00589,-5342,5342
8649,1165,1,0.00675,-4669,4669
13485,12423,1,0.00577,-5451,5451
13485,1165,1,0.00625,-5041,5041
2363,2209,1,0.02752,-1360,1360
2363,11249,1,0.01515,-2464,2464
3314,10019,1,0.02432,-1279,1279
3314,879,1,0.01949,-1583,1583
12347,10227,1,0.00269,-11656,11656
12347,2517,1,0.01904,-1977,1977
1326,10227,1,0.00263,-11912,11912
1326,2517,1,0.01864,-2018,2018
9864,13169,1,0.01249,-2518,2518
9864,5959,1,0.01031,-3048,3048
4830,13169,1,0.01273,-2471,2471
4830,5959,1,0.01009,-3113,3113
12318,6464,1,0.013711,-2298,2298
12318,7516,1,0.011409,-2755,2755
11537,8566,1,0.013969,-2256,2256
11537,7516,1,0.011159,-2816,2816
13343,12066,1,0.000271,-116559,116559
3313,12066,1,0.000271,-116559,116559
1196,218,1,0.035702,-856,856
1196,3002,1,0.103686,-294,294
780,8041,1,0.00673,-4672,4672
780,6114,1,0.00658,-4777,4777
5179,3568,1,0.006021,-5180,5180
5179,3085,1,0.005901,-5280,5280
1666,7897,1,0.006599,-4745,4745
1666,6301,1,0.006729,-4657,4657
12861,4782,1,0.00077,-40746,40746
12861,6207,1,0.00078,-40230,40230
7212,4782,1,0.00082,-38340,38340
7212,11151,1,0.00076,-41334,41334
9869,8041,1,0.00074,-42374,42374
9869,6207,1,0.00073,-42946,42946
6015,3568,1,0.003781,-8245,8245
6015,1131,1,0.0035,-8896,8896
10035,7897,1,0.00274,-11227,11227
10035,1910,1,0.00268,-11454,11454
9951,1939,1,0.00685,-4597,4597
9951,557,1,0.00639,-4921,4921
8771,8041,1,0.00523,-6021,6021
8771,12272,1,0.00605,-5207,5207
8284,4782,1,0.00228,-13736,13736
8284,13171,1,0.00264,-11908,11908
4891,7738,1,0.03568,-876,876
4891,9177,1,0.03549,-878,878
7982,7738,1,0.033271,-933,933
7982,2109,1,0.035901,-869,869
10181,2611,1,0.0002,-157937,157937
10181,11398,1,0.0002,-157937,157937
13331,7738,1,0.04011,-771,771
13331,4629,1,0.041531,-748,748
11042,971,1,0.046461,-675,675
11042,9307,1,0.04426,-706,706
5320,12300,1,0.00485,-6495,6495
5320,9117,1,0.00415,-7573,7573
10275,2399,1,0.00069,-45395,45395
10275,10873,1,0.00036,-87206,87206
11545,3592,1,0.00569,-5526,5526
11545,10322,1,0.00767,-4102,4102
8859,13646,1,0.01299,-2880,2880
4222,12258,1,0.01031,-3632,3632
1576,13646,1,0.01496,-2499,2499
1576,1624,1,0.01309,-2860,2860
5947,9710,1,0.00274,-11263,11263
5947,10727,1,0.00405,-7741,7741
3661,11493,1,0.02445,-1280,1280
3661,11925,1,0.02493,-1257,1257
5848,5338,1,0.01097,-3417,3417
5848,13272,1,0.01464,-2576,2576
8440,4914,1,0.00046,-68669,68669
6339,5430,1,0.01223,-3060,3060
6339,9813,1,0.00364,-10250,10250
3407,2782,1,0.03393,-912,912
3407,13262,1,0.036849,-844,844
11656,11688,1,0.00722,-4343,4343
11656,9434,1,0.00835,-3770,3770
9621,11688,1,0.00705,-4450,4450
9621,9162,1,0.00799,-3922,3922
9337,8152,1,0.029969,-1046,1046
9337,11977,1,0.02969,-1056,1056
9790,640,1,0.00463,-6733,6733
9790,4131,1,0.004841,-6456,6456
7596,13576,1,0.034469,-902,902
7596,11009,1,0.03512,-886,886
4467,8002,1,0.017651,-1765,1765
4467,4131,1,0.02462,-1274,1274
386,13576,1,0.011659,-2635,2635
386,9823,1,0.013211,-2350,2350
10827,13576,1,0.016031,-1944,1944
10827,6896,1,0.014841,-2097,2097
8613,13576,1,0.004599,-6782,6782
8613,4717,1,0.00468,-6672,6672
2868,6889,1,0.000355,-105381,105381
2868,7065,1,0.000355,-105381,105381
2031,372,1,0.02949,-1056,1056
2031,8334,1,0.044271,-703,703
4223,372,1,0.022469,-1381,1381
4223,4491,1,0.03382,-920,920
7174,6169,1,0.01034,-3048,3048
7174,10838,1,0.00889,-3541,3541
3739,3750,1,0.025789,-1202,1202
3739,13415,1,0.027711,-1119,1119
2999,3750,1,0.01764,-1692,1692
2999,2132,1,0.01788,-1739,1739
12353,7021,1,0.00587,-5360,5360
12353,8085,1,0.00666,-4727,4727
8372,9726,1,0.01388,-2216,2216
8372,5972,1,0.01488,-2079,2079
4977,2449,1,0.00614,-5127,5127
4977,9117,1,0.00406,-7737,7737
11807,9193,1,0.046031,-678,678
11807,13362,1,0.01632,-1893,1893
7367,2297,1,0.00495,-6369,6369
7367,13504,1,0.00485,-6488,6488
13361,210,1,0.027099,-1152,1152
13361,8579,1,0.024969,-1247,1247
8856,11596,1,0.03932,-797,797
8856,10943,1,0.036789,-848,848
12165,8452,1,0.00893,-4189,4189
12165,10718,1,0.02156,-1729,1729
991,210,1,0.022729,-1367,1367
991,8264,1,0.02231,-1394,1394
10687,7078,1,0.00675,-4679,4679
10687,1766,1,0.00688,-4591,4591
13494,6000,1,0.01201,-2625,2625
13494,9558,1,0.01254,-2515,2515
3322,4944,1,0.00722,-4354,4354
3322,6366,1,0.0074,-4242,4242
6082,13221,1,0.0081,-3868,3868
6082,11561,1,0.01565,-2002,2002
12539,2263,1,0.00581,-5427,5427
12539,3777,1,0.00534,-5895,5895
12308,11016,1,0.001331,-23689,23689
12308,9194,1,0.001591,-19614,19614
10168,3267,1,0.026219,-1191,1191
10168,10943,1,0.027521,-1132,1132
460,12666,1,0.01265,-2960,2960
460,1925,1,0.0129,-2904,2904
11384,10686,1,0.01589,-1982,1982
11384,11561,1,0.00484,-6487,6487
5551,2914,1,0.03961,-794,794
5551,12265,1,0.01981,-1578,1578
1418,8986,1,0.014419,-2166,2166
1418,4609,1,0.013349,-2336,2336
5389,12666,1,0.00508,-7357,7357
5389,1255,1,0.00595,-6358,6358
4132,10934,1,0.00988,-3133,3133
4132,3129,1,0.019099,-1629,1629
2817,992,1,0.00308,-10214,10214
2817,8261,1,0.00307,-10212,10212
7950,6182,1,0.00577,-6497,6497
7950,9582,1,0.01295,-2894,2894
8170,2362,1,0.01005,-3132,3132
8170,8003,1,0.0097,-3248,3248
11189,10774,1,0.0126,-2492,2492
11189,8008,1,0.01389,-2267,2267
9620,2145,1,0.00908,-3467,3467
9620,12632,1,0.01338,-2349,2349
12114,3721,1,0.0402,-778,778
12114,6284,1,0.03906,-801,801
3244,10774,1,0.01065,-2960,2960
3244,3272,1,0.01062,-2969,2969
6020,494,1,0.01695,-2209,2209
6020,8891,1,0.00925,-4048,4048
12682,7713,1,0.00101,-29729,29729
11711,7713,1,0.00104,-29329,29329
1504,884,1,0.0125,-2989,2989
1504,5821,1,0.01236,-3028,3028
3381,12919,1,0.05513,-564,564
3381,879,1,0.027021,-1153,1153
7853,6824,1,0.012031,-2583,2583
7853,5972,1,0.0115,-2686,2686
8048,4231,1,0.058314,-481,481
8048,174,1,0.054256,-517,517
1392,4231,1,0.026231,-1109,1109
1392,3084,1,0.045248,-648,648
9306,524,1,0.017159,-1800,1800
9306,11008,1,0.03018,-1034,1034
12771,10677,1,0.0056,-5426,5426
12771,11249,1,0.00925,-3865,3865
6857,524,1,0.00489,-6140,6140
6857,9037,1,0.00175,-17774,17774
8995,524,1,0.004789,-6245,6245
8995,9037,1,0.001789,-17398,17398
4390,4711,1,0.063229,-494,494
4390,2245,1,0.00638,-4874,4874
993,10347,1,0.00755,-4169,4169
993,10709,1,0.00503,-6247,6247
826,10347,1,0.0077,-4089,4089
826,10709,1,0.00493,-6371,6371
3394,4877,1,0.00683,-4610,4610
3394,12158,1,0.01134,-2771,2771
9489,4877,1,0.00668,-4713,4713
9489,12158,1,0.0111,-2830,2830
9708,13164,1,0.01047,-2622,2622
9708,4642,1,0.01215,-3076,3076
9498,13164,1,0.01198,-3129,3129
9498,3715,1,0.00616,-6077,6077
12196,10919,1,0.01773,-2117,2117
12196,5789,1,0.01047,-3584,3584
535,11908,1,0.013341,-2336,2336
535,140,1,0.014229,-2201,2201
7945,1076,1,0.011771,-2649,2649
7945,12534,1,0.014909,-2090,2090
9005,892,1,0.00084,-37509,37509
9005,1766,1,0.00092,-34262,34262
12416,8601,1,0.010349,-3026,3026
12416,10021,1,0.009151,-3403,3403
9221,8601,1,0.010539,-2973,2973
9221,10021,1,0.00895,-3475,3475
8515,2315,1,0.000271,-116559,116559
6403,6614,1,0.0071,-4435,4435
6403,9117,1,0.00697,-4517,4517
9514,6056,1,0.00743,-4216,4216
9514,7101,1,0.007271,-4305,4305
1452,6056,1,0.00824,-3812,3812
1452,7101,1,0.008401,-3741,3741
5682,5452,1,0.01664,-1870,1870
5682,11733,1,0.05249,-594,594
4825,2456,1,0.00627,-5018,5018
4825,11561,1,0.00878,-3580,3580
13359,326,1,0.00421,-7480,7480
13359,12737,1,0.00353,-8706,8706
624,11012,1,0.00119,-26451,26451
624,8261,1,0.0013,-24227,24227
7026,7780,1,0.00121,-26034,26034
7026,6366,1,0.00134,-23508,23508
4755,4357,1,0.01067,-2956,2956
4755,3462,1,0.00959,-3285,3285
10662,5711,1,0.030271,-1042,1042
10662,7437,1,0.02786,-1131,1131
7214,4357,1,0.00781,-4021,4021
7214,6268,1,0.00666,-4699,4699
8164,5711,1,0.0272,-1150,1150
8164,8677,1,0.029729,-1057,1057
12629,4357,1,0.00837,-3766,3766
12629,4831,1,0.0084,-3753,3753
7840,4357,1,0.00853,-3696,3696
7840,4831,1,0.00778,-4052,4052
11317,5711,1,0.008159,-3791,3791
11317,11518,1,0.00799,-3864,3864
3240,5711,1,0.00781,-3946,3946
3240,11518,1,0.008849,-3515,3515
1135,5711,1,0.002229,-14104,14104
1135,7516,1,0.00218,-14411,14411
2781,5711,1,0.00213,-14745,14745
2781,7516,1,0.002419,-13009,13009
6505,5711,1,0.00255,-12353,12353
6505,7516,1,0.0025,-12591,12591
12092,5711,1,0.0002,-157937,157937
12092,5740,1,0.0002,-157937,157937
2757,11750,1,0.01058,-2980,2980
2757,10922,1,0.01078,-2925,2925
5460,404,1,0.05299,-588,588
5460,13262,1,0.057219,-545,545
7572,3427,1,0.00505,-6219,6219
7572,9194,1,0.00164,-19226,19226
11268,11750,1,0.00998,-3159,3159
11268,3389,1,0.02943,-1071,1071
7272,3049,1,0.00474,-6642,6642
7272,2493,1,0.00467,-6733,6733
11286,3049,1,0.00567,-5548,5548
11286,2409,1,0.00667,-4721,4721
6560,6485,1,0.042349,-730,730
6560,12261,1,0.03293,-938,938
13149,2024,1,0.02015,-1560,1560
13149,13575,1,0.02084,-1511,1511
9609,249,1,0.00781,-3976,3976
9609,8612,1,0.007651,-4036,4036
12837,249,1,0.0075,-4110,4110
12837,8612,1,0.007341,-4190,4190
11653,10180,1,0.020771,-1457,1457
11653,10180,2,0.02032,-1484,1484
111,1302,1,0.076364,-351,351
111,2235,1,0.039083,-779,779
6531,5081,1,0.032364,-809,809
10859,5081,1,0.121636,-222,222
5081,7553,1,0.084942,-322,322
8666,8494,1,0.110017,-254,254
11001,9689,1,0.052719,-582,582
9689,11001,1,0.053752,-572,572
6310,3549,1,0.054169,-567,567
7106,6310,1,0.083521,-373,373
10458,2358,1,0.033603,-769,769
10458,2358,2,0.032876,-775,775
2358,11001,1,0.109579,-282,282
2358,11001,2,0.111653,-277,277
2358,8780,1,0.051058,-515,515
1302,6531,1,0.029083,-911,911
3549,8241,1,0.003081,-10075,10075
3549,8241,2,0.002789,-11148,11148
3549,2972,1,0.03489,-875,875
8720,3549,1,0.034,-915,915
8720,3549,2,0.034651,-899,899
2421,10458,1,0.076339,-346,346
10458,5586,1,0.101868,-271,271
12153,10717,1,0.01496,-2504,2504
2209,12153,1,0.01115,-3356,3356
12153,850,1,0.02267,-1651,1651
11653,2972,1,0.03325,-923,923
11653,8698,1,0.06526,-467,467
10859,13562,1,0.034777,-762,762
10859,3783,1,0.103017,-293,293
10859,3783,2,0.105041,-288,288
10859,1184,1,0.050182,-549,549
10859,1302,1,0.063678,-399,399
7106,10559,1,0.02618,-1190,1190
7106,8720,1,0.10681,-292,292
12213,8666,1,0.08086,-316,316
2530,12344,1,0.014298,-1926,1926
6827,2530,1,0.073562,-361,361
5477,2421,1,0.058818,-411,411
13562,2235,1,0.075992,-353,353
8780,13068,1,0.045331,-549,549
4150,7553,1,0.031678,-789,789
13157,4150,1,0.047521,-526,526
9286,12283,1,0.011041,-2686,2686
6779,9286,1,0.022554,-1218,1218
6672,2361,1,0.118479,-222,222
6779,6672,1,0.022967,-1207,1207
12283,11915,1,0.029628,-1030,1030
12283,11915,2,0.027438,-1108,1108
2209,5117,1,0.00461,-8126,8126
10559,414,1,0.071669,-433,433
10559,414,2,0.081219,-385,385
414,8698,1,0.016831,-1814,1814
8720,414,1,0.009401,-3238,3238
10560,3783,1,0.135628,-201,201
6348,10560,1,0.057314,-439,439
10559,119,1,0.01895,-1643,1643
1076,119,1,0.02675,-1158,1158
12344,4935,1,0.116554,-221,221
3658,4935,1,0.054793,-563,563
1184,13068,1,0.07586,-359,359
10482,2361,1,0.050628,-524,524
5586,6827,1,0.092818,-286,286
13157,12213,1,0.034967,-739,739
11915,5477,1,0.03038,-783,783
50,7481,1,0.022281,-1153,1153
10482,7481,1,0.021843,-1114,1114
119,8720,1,0.06293,-492,492
119,8720,2,0.06162,-501,501
6779,5477,1,0.023017,-1247,1247
1409,11040,1,0.06706,-459,459
1409,8152,1,0.01457,-2105,2105
2043,6999,1,0.04007,-764,764
2043,13576,1,0.06756,-456,456
2594,7565,1,0.01141,-2763,2763
2594,11750,1,0.01698,-1857,1857
4109,756,1,0.027409,-1149,1149
4109,756,2,0.02794,-1128,1128
4109,11112,1,0.02582,-1206,1206
4109,404,1,0.02426,-1275,1275
4109,2461,1,0.100021,-310,310
4109,2461,2,0.101979,-305,305
7565,3133,1,0.02551,-1236,1236
7565,6866,1,0.00296,-10645,10645
7565,8236,1,0.02091,-1507,1507
1929,6866,1,0.02163,-1457,1457
11180,6999,1,0.03463,-886,886
11180,13576,1,0.078531,-402,402
11180,13576,2,0.072711,-434,434
11180,164,1,0.02876,-1077,1077
11180,4559,1,0.01826,-1688,1688
11180,2461,1,0.03594,-858,858
5617,2883,1,0.060581,-513,513
5617,8736,1,0.07163,-434,434
7417,2611,1,0.069341,-454,454
7417,8152,1,0.031081,-1014,1014
6999,13576,1,0.057479,-541,541
6999,164,1,0.01024,-3036,3036
11040,9874,1,0.07664,-402,402
11040,9874,2,0.07501,-410,410
11040,8736,1,0.05724,-538,538
11040,8736,2,0.056021,-549,549
11040,813,1,0.0347,-888,888
7425,13576,1,0.044729,-683,683
7425,177,1,0.018729,-1639,1639
12423,4778,1,0.0141,-2233,2233
12423,4778,2,0.01598,-1973,1973
12423,4219,1,0.00666,-4732,4732
12423,3969,1,0.0181,-1743,1743
1646,5450,1,0.00139,-22677,22677
1646,5450,2,0.00089,-35119,35119
11112,404,1,0.001289,-23943,23943
8760,5140,1,0.01964,-1606,1606
8760,5140,2,0.02001,-1576,1576
2611,6181,1,0.032341,-975,975
2611,6181,2,0.02994,-1052,1052
2611,5376,1,0.07155,-441,441
2782,404,1,0.036841,-838,838
8152,5376,1,0.03707,-850,850
8152,813,1,0.05936,-524,524
4219,1353,1,0.00975,-3233,3233
13576,479,1,0.025771,-1224,1224
13576,479,2,0.026271,-1201,1201
13576,177,1,0.03037,-1019,1019
2883,8736,1,0.01388,-2216,2216
479,5450,1,0.0828,-376,376
479,5450,2,0.08114,-381,381
8236,11750,1,0.00554,-5690,5690
3969,11750,1,0.02089,-1507,1507
1353,11750,1,0.02045,-1539,1539
5140,672,1,0.01489,-2121,2121
5140,672,2,0.01518,-2080,2080
8509,8736,1,0.110081,-283,283
8509,8736,2,0.1122,-278,278
446,404,1,0.05145,-601,601
446,404,2,0.050401,-613,613
4559,2461,1,0.026719,-1163,1163
5711,249,1,0.067461,-467,467
5711,249,2,0.068729,-459,459
2723,10043,1,0.04438,-690,690
11775,12394,1,0.082851,-368,368
11775,5793,1,0.061587,-497,497
8315,3750,1,0.05405,-570,570
1058,8142,1,0.057248,-532,532
218,8142,1,0.122471,-246,246
8142,10533,1,0.108959,-269,269
13106,8657,1,0.139587,-218,218
13106,9368,1,0.191992,-144,144
4476,13106,1,0.084231,-346,346
4940,7549,1,0.02205,-1381,1381
4940,3440,1,0.01395,-2193,2193
7549,11388,1,0.05981,-502,502
3440,4836,1,0.142281,-215,215
11973,6342,1,0.02181,-1372,1372
6342,12033,1,0.021339,-1396,1396
11973,7034,1,0.026537,-1147,1147
7034,7169,1,0.02705,-1129,1129
109,10356,1,0.018273,-1670,1670
10356,8071,1,0.018612,-1644,1644
11973,9284,1,0.041463,-715,715
11973,9284,2,0.042091,-725,725
109,11973,1,0.014182,-2009,2009
8071,11973,1,0.048471,-630,630
8981,9284,1,0.029554,-1020,1020
8594,9284,1,0.116479,-256,256
5578,9284,1,0.137678,-204,204
3312,9284,1,0.075893,-402,402
9284,755,1,0.100421,-280,280
6982,9284,1,0.179157,-171,171
10639,3604,1,0.01402,-2239,2239
8611,8981,1,0.027992,-1073,1073
12735,8611,1,0.116281,-263,263
12735,8071,1,0.091273,-333,333
3659,12735,1,0.075017,-402,402
8311,12735,1,0.050017,-603,603
6443,4836,1,0.017231,-1766,1766
6443,1728,1,0.208826,-145,145
6443,5108,1,0.112843,-256,256
6443,193,1,0.095603,-296,296
10834,4836,1,0.168942,-182,182
11388,4836,1,0.093017,-324,324
4179,5603,1,0.086562,-353,353
1375,5603,1,0.058463,-517,517
5519,788,1,0.030248,-1008,1008
788,4492,1,0.053744,-565,565
788,8742,1,0.09738,-310,310
4018,788,1,0.066,-464,464
1797,6603,1,0.065868,-464,464
1797,6100,1,0.072273,-417,417
3163,12374,1,0.03719,-819,819
12374,11018,1,0.038281,-795,795
7290,10533,1,0.073041,-419,419
4645,7290,1,0.035273,-851,851
7411,6603,1,0.057256,-522,522
251,1058,1,0.086471,-350,350
12033,2738,1,0.045471,-663,663
1375,10286,1,0.013686,-2192,2192
10286,11018,1,0.058463,-525,525
9827,8117,1,0.020876,-1420,1420
9827,5067,1,0.03957,-773,773
8117,7411,1,0.023661,-1283,1283
5519,7418,1,0.09557,-321,321
24,1728,1,0.085372,-349,349
24,10834,1,0.14924,-204,204
8786,24,1,0.097008,-313,313
24,12828,1,0.123091,-245,245
2498,12905,1,0.077413,-396,396
12905,5793,1,0.036182,-845,845
10639,8195,1,0.01643,-1915,1915
1021,9078,1,0.016826,-1778,1778
9078,13644,1,0.027041,-1122,1122
9078,1827,1,0.045628,-650,650
9078,3138,1,0.062777,-474,474
1728,1021,1,0.041248,-731,731
13644,6445,1,0.017562,-1738,1738
11306,13644,1,0.080446,-378,378
2127,1375,1,0.018653,-1635,1635
6393,2127,1,0.025686,-1167,1167
5110,4258,1,0.083149,-363,363
4258,6982,1,0.04605,-628,628
11322,9657,1,0.00106,-29428,29428
1360,11322,1,0.003901,-8049,8049
11217,6803,1,0.021,-1459,1459
6803,10688,1,0.004289,-7038,7038
9414,1600,1,0.016554,-1812,1812
9414,7154,1,0.064653,-463,463
7016,3955,1,0.099256,-307,307
3766,7016,1,0.152107,-200,200
4313,4582,1,0.047711,-622,622
4313,6393,1,0.06562,-452,452
12339,5338,1,0.01428,-2616,2616
10677,12339,1,0.01467,-2553,2553
8657,13227,1,0.129909,-232,232
1331,3955,1,0.019686,-1555,1555
3955,1970,1,0.145463,-193,193
1331,5161,1,0.088488,-345,345
11063,7227,1,0.007401,-4172,4172
1827,12394,1,0.082934,-365,365
10213,10834,1,0.035058,-850,850
4711,3925,1,0.03774,-817,817
8594,7597,1,0.03019,-987,987
6124,9027,1,0.03438,-880,880
9027,9578,1,0.050339,-599,599
11217,7154,1,0.022744,-1348,1348
10440,12377,1,0.002512,-12190,12190
5793,10440,1,0.017521,-1727,1727
10440,2822,1,0.00781,-3804,3804
1600,7310,1,0.056876,-530,530
7310,6100,1,0.144033,-212,212
7310,1769,1,0.141083,-212,212
7310,10688,1,0.17286,-174,174
7310,8822,1,0.001273,-23509,23509
7310,10070,1,0.093058,-327,327
2470,6124,1,0.065,-459,459
8697,6100,1,0.00486,-6209,6209
8697,6100,2,0.006678,-4497,4497
4973,1360,1,0.02218,-1412,1412
4973,1360,2,0.022531,-1390,1390
3659,8311,1,0.058843,-507,507
7418,3659,1,0.027413,-1091,1091
3659,10098,1,0.024769,-1196,1196
7708,524,1,0.01488,-2088,2088
9783,4311,1,0.00082,-45507,45507
9193,1360,1,0.08713,-358,358
9193,7227,1,0.011469,-2709,2709
10688,9647,1,0.049959,-611,611
9647,1375,1,0.07124,-431,431
12721,3750,1,0.086021,-362,362
7227,12721,1,0.07207,-427,427
11018,8245,1,0.034413,-865,865
8347,8245,1,0.00276,-11017,11017
4674,218,1,0.08657,-347,347
2738,6770,1,0.081132,-374,374
4255,3759,1,0.005,-6218,6218
3759,4485,1,0.01551,-2008,2008
10517,4597,1,0.071669,-429,429
10517,2070,1,0.065512,-468,468
4582,5663,1,0.076612,-400,400
1958,2498,1,0.071769,-420,420
4645,251,1,0.04005,-749,749
13154,4674,1,0.13586,-221,221
13154,833,1,0.105893,-290,290
8069,10604,1,0.08119,-372,372
7226,8069,1,0.10738,-285,285
10533,5578,1,0.156942,-178,178
7633,4492,1,0.115653,-265,265
7169,11821,1,0.010851,-2732,2732
11821,7597,1,0.043421,-683,683
7633,2723,1,0.087488,-345,345
10875,10136,1,0.047793,-599,599
11388,10136,1,0.051537,-583,583
12377,12394,1,0.053901,-561,561
12377,12394,2,0.045521,-670,670
12394,10028,1,0.048653,-578,578
5067,13194,1,0.007174,-4263,4263
4276,13194,1,0.005372,-5691,5691
3138,6445,1,0.043479,-706,706
