bus,demand
2121,194.262
2123,1.36363
2124,-1.85
2125,76.18
2127,0.7
2128,-6.36889
2132,0.119399
2133,13.82
2140,142.8
2142,6.71
2150,0.3
2152,196.6
2159,339.1
2165,22.02
2168,7.41
2170,-10.51
2171,173.6
2174,72.1
2175,135
2181,115.2
2184,-10.86
2187,5.81
2188,35.3
2193,2.5
2194,43.8
2195,0.261953
2196,129.5
2201,1.02536
2203,73.58
2204,0.27075
2206,125.4
2207,8
2208,116.7
2211,0.233775
2212,25.1692
2213,7.61
2214,300.2
2216,0.220588
2218,20.42
2219,-21.62
2221,0.471052
2224,-0.58
2225,-9.40899
2226,20.9
2228,-0.5
2229,175.2
2230,77.38
2231,56.56
2232,140.4
2233,16.7
2234,156.9
2235,60.07
2238,69.08
2240,0.113849
2241,329.4
2243,12.6
2244,34.04
2250,32.04
2256,146.6
2257,0.228851
2258,-4.14
2261,30.53
2264,78.5
2265,104.5
2267,0.9
2269,-0.16
2271,28.33
2274,71.77
2275,76.29
2276,51.96
2277,58.87
2280,38.74
2288,45.75
2290,137.2
2291,0.04006
2293,0.224579
2294,73.78
2295,25.13
2297,164.8
2298,274.1
2299,18.5
2300,149.8
2305,14.72
2306,152.14
2309,20.32
2311,4
2312,-0.22
2314,164.2
2315,-0.02
2316,73.18
2317,75.88
2319,123.5
2320,41.95
2327,20.82
2334,5.31
2336,-0.18
2337,0.119008
2338,-8.41
2339,7.41
2340,70.08
2343,51.66
2344,33.6
2346,33.24
2348,0.039624
2349,95.71
2350,-33.1
2352,60.27
2353,15.34
2354,124.5
2355,13.31
2356,103.7
2358,33.04
2359,216.8
2361,22.02
2362,-0.387786
2364,15.22
2365,257.2
2366,62.07
2367,20.9
2374,22.02
2375,3.67
2376,86.2214
2378,86.1
2379,125.4
2380,20.02
2381,34.04
2382,-0.75
2383,91.7
2384,0.259637
2385,0.181549
2386,46.45
2387,3.3
2390,-28.13
2391,4.68
2392,74.98
2393,55.26
2394,0.188054
2396,9.21
2400,7.41
2401,22.28
2403,416.209
2404,0.05988
2405,0.37285
2407,72.18
2412,36.5
2413,83.19
2414,28.74
2415,3.9
2416,0.090774
2417,12.41
2418,207.95
2419,14.72
2420,4.3
2421,5.01
2423,47.45
2424,1.15154
2425,62.16
2431,92.61
2432,0.574318
2433,-15.38
2441,92.1
2442,2.5
2443,4.91
2444,53.56
2445,48.2897
2450,0.019574
2451,-14.32
2452,158.102
2453,0.683135
2454,0.019235
2455,-0.2
2457,8.01
2461,38.0972
2465,34.44
2466,68.38
2467,-17.18
2468,19.92
2469,0.135375
2470,16.02
2474,0.115864
2475,9.71
2479,10.11
2484,0.08029
2493,0.511956
2494,0.235883
2495,39.24
2497,58.46
2498,5.41
2499,11.51
2503,85.8
2505,0.12
2507,0.020109
2508,199.4
2509,-1.5
2511,0.232565
2512,80.09
2520,328.9
2521,11.11
2522,45.75
2524,25.43
2525,122.2
2527,26.03
2528,333.5
2529,73.98
2530,3
2535,12.6
2537,226.4
2541,101.3
2542,-0.18
2544,5.51
2545,-1.8
2546,16.52
2547,28.63
2550,169.8
2551,19.0723
2552,32.94
2553,0.353382
2555,-19.32
2557,166.14
2558,1.13965
2560,71.18
2562,13.31
2563,12.3494
2564,-0.63
2567,8.3
2570,8.51
2575,23.03
2576,112.6
2578,-4.17
2579,25.43
2580,-3.55
2581,166.318
2585,52.46
2586,99.51
2587,44.65
2588,0.116549
2589,13.9
2590,88.92
2591,34.379
2593,63.66
2594,335.3
2595,108.91
2596,-29.73
2597,0.198366
2599,14.62
2601,0.467058
2602,0.438658
2604,-0.65
2608,56.46
2609,114.2
2611,14.3122
2612,17.82
2614,34.14
2616,8.21
2617,44.23
2618,62.37
2619,113.27
2620,0.4
2621,112
2626,30.5914
2628,123.9
2630,154.8
2631,22.02
2632,5.11
2633,7.84012
2634,0.019998
2636,25.73
2637,0.2
2639,-41.65
2640,5.51
2643,369.5
2644,14
2649,177.4
2658,-19.62
2659,55.26
2660,209.2
2663,11.71
2671,15.57
2672,94.3
2673,83.29
2674,223.9
2678,1.31444
2682,50.26
2684,0.367319
2685,27.33
2689,2.2
2692,-0.75
2696,182.845
2697,57.16
2699,0.925827
2701,28.63
2704,29.4
2706,32.34
2707,22.22
2709,1.4
2710,20.82
2713,53.96
2714,0.690226
2715,0.202076
2716,0.334631
2718,0.2
2720,26.43
2723,16.02
2724,17.8198
2725,25
2726,0.057077
2727,-11.95
2728,100.005
2730,39.54
2731,62.17
2732,52.06
2733,91.1
2735,0.241629
2736,33.64
2738,10.51
2740,197.5
2742,0.361262
2744,49.25
2745,0.126343
2746,192.11
2747,108.3
2748,192.3
2750,64.6619
2752,45.6
2753,14.8
2754,177.44
2755,51.86
2762,98.6
2766,-11.44
2769,0.113836
2770,44.75
2771,4.4
2774,19.42
2775,21.82
2776,32.2
2779,159.8
2782,115.1
2788,21.62
2792,100.896
2794,76.28
2795,23.13
2797,0.01938
2800,3.2
2802,179.54
2804,248.7
2805,-20.6
2806,46.05
2807,28.83
2812,1.8
2813,210.1
2814,241.9
2815,23.33
2818,0.135493
2821,39.64
2822,19.32
2823,12.41
2824,41.8
2825,188.1
2829,174.817
2832,70.18
2833,50.26
2834,69.78
2835,61.87
2837,0.03986
2839,89.5
2843,0.427339
2846,0.121579
2847,25.73
2848,0.113571
2850,54
2854,139.1
2856,-61.76
2857,54.66
2859,-40.44
2860,82.1
2862,0.039441
2863,302.5
2866,41.45
2869,95.91
2872,119
2873,0.29374
2874,0.039591
2875,72.08
2878,3.9
2879,8.11
2882,89.1
2883,16.02
2884,0.181549
2885,110.9
2886,90.1
2887,0.330327
2888,25.83
2889,134
2891,153.64
2892,0.575637
2893,6.31
2896,28.83
2898,297.7
2899,178.4
2900,-6.28413
2903,3.2
2904,8.51
2907,83.59
2908,-0.65
2909,19.22
2910,29.3
2911,39.84
2913,0.154629
2918,52.66
2920,120.2
2923,115.1
2925,-0.61
2926,108.787
2927,14.4
2928,98.6
2929,19.82
2931,50.16
2932,1.4
2937,101.2
2938,0.060224
2939,86.9
2940,50.56
2941,32.54
2943,88.3
2944,7
2945,10.21
2946,125.1
2948,163.7
2949,30.93
2951,121.4
2953,0.096544
2954,0.037641
2956,0.126829
2957,199.86
2958,218.7
2959,0.019608
2960,110.09
2961,-5.64
2962,65.87
2965,4.00598
2966,54.26
2967,0.117169
2971,-3.7
2985,0.865147
2986,0.090774
2987,529.9
2988,10.01
2989,12.81
2992,60.67
2993,0.207683
2995,5.71
2996,11
2997,53.36
2998,-0.2
3000,4
3001,-0.19
3002,4.4
3004,19.82
3005,8.07
3007,92.3
3008,30.33
3009,79.09
3014,16.22
3016,8.91
3018,107.3
3023,78.69
3024,23.2
3026,137.8
3027,4.69
3028,101.5
3032,20.0394
3033,29.4
3035,129.5
3037,126.98
3038,130.9
3039,6.11
3041,17.62
3042,101.9
3043,439
3044,0.338538
3046,-2.23
3047,0.181549
3049,-41.8027
3051,6.01
3054,51.96
3055,304.2
3057,12.21
3060,6.62992
3064,15.82
3067,20.92
3069,30.0478
3070,8.6
3071,120.1
3075,37.6
3076,114.2
3077,396.7
3079,106.4
3080,95.1405
3081,-1397.33
3083,171.159
3084,40.65
3085,50.86
3087,-15.8
3092,0.056531
3099,14.22
3102,157.036
3106,-14.27
3115,-19.6368
3118,55.46
3120,7.29
3125,34.14
3126,297.2
3129,137.3
3131,29.03
3132,213
3133,0.352533
3138,11.01
3140,0.177225
3144,17.5592
3147,74.98
3149,6.01
3151,44.55
3153,60.07
3156,0.17315
3158,23.7
3160,3.9
3163,20.32
3170,52.4828
3171,142.8
3172,78.79
3173,88.7
3174,128.7
3177,143.1
3183,0.148489
3185,-10.8883
3187,0.927753
3188,63.67
3189,125.5
3190,13.9
3191,43.75
3192,10.71
3193,0.115814
3194,65.77
3196,69.08
3197,66.87
3200,55.6
3203,33.5
3204,47.46
3205,110.3
3207,1.8
3208,162.94
3209,-5.15
3211,100.7
3212,0.434555
3221,23.03
3222,97
3229,305.6
3232,1.9
3235,27.9
3238,0.385832
3239,0.197033
3243,73.68
3246,141.3
3247,34.04
3249,25.33
3250,91.9
3251,0.058997
3254,73.18
3256,11.61
3257,30.6
3259,1.4
3260,50.65
3262,208.88
3263,-6.7
3264,4.3
3266,74.68
3268,0.097763
3269,13.04
3272,71.88
3273,15.02
3274,30.83
3275,93.2
3276,162.7
3277,402.1
3279,82.39
3281,628.5
3286,88.7
3287,21.22
3288,-27.25
3289,45.75
3290,32.04
3291,2.20508
3293,8.41
3300,13.9
3301,55.46
3310,39.64
3312,8.41
3318,24.23
3319,114.5
3321,66.77
3324,-0.2
3332,27.93
3341,103.4
3342,12.71
3345,50.36
3347,24.33
3349,96.91
3354,33.04
3357,53.3
3359,208.24
3362,118.4
3364,84.9489
3370,179.4
3372,54.46
3374,225.939
3375,52.96
3376,0.040027
3377,215.5
3378,16.9
3380,0.471697
3383,37.94
3387,5.5
3388,-15.92
3389,178.5
3390,0.113993
3391,110.798
3397,153.3
3399,131.1
3400,17.12
3401,101.7
3402,-41.25
3405,1.4
3408,32.94
3411,52.4415
3417,122.1
3420,24.2134
3421,0.1
3422,57.56
3424,55.54
3426,20.12
3427,173.7
3428,20.82
3429,200.954
3430,80.29
3431,72.4
3435,3.1
3436,69.38
3439,0.094628
3440,27.23
3441,37.24
3445,117.13
3446,30.6
3447,64.8
3450,0.237418
3452,94.0209
3453,30.6
3454,5.51
3455,253.439
3457,14.32
3458,-0.54
3459,14
3461,70.8572
3462,3.4
3464,262.1
3465,0.379958
3466,373.84
3467,10.51
3470,523.3
3472,44.55
3473,197.458
3475,119.559
3476,0.27075
3478,73.18
3480,68.4196
3484,291.2
3500,0.254277
3501,2.43
3502,52.86
3503,45.6
3506,1.10617
3507,69.7
3509,34.24
3510,301.9
3511,20.3
3514,98.36
3518,488.7
3519,262.5
3522,30.74
3527,179.66
3532,6.85094
3533,3.3
3534,-5.22
3537,1.5
3538,314.65
3541,0.039385
3545,103.5
3546,76.58
3548,40.44
3549,35.04
3554,4.2
3555,50.96
3556,-2.65
3559,0.039181
3561,-0.21
3562,26.6
3564,2
3565,33.5
3566,79.09
3568,1.86526
3572,0.176084
3573,42.2
3574,48.8
3576,74.18
3579,39.34
3583,127.2
3589,36.34
3590,65.07
3591,0.038998
3594,11.91
3595,119.2
3597,48.75
3598,-14.9
3600,41.8
3601,133.739
3602,115.87
3603,174.1
3606,18.2
3609,180.4
3612,0.019731
3615,42.3998
3616,-5.29
3618,0.058188
3623,33.5
3624,11.2
3626,18.32
3627,238.45
3628,59.77
3629,-10.41
3632,72.8029
3634,1.3
3635,0.108686
3636,107
3637,0.28908
3638,51.56
3639,15.12
3640,70.28
3643,118.8
3645,24.33
3648,278.35
3649,0.078072
3652,72.68
3653,38.44
3654,27.33
3659,-0.560241
3660,-4.88
3662,0.059074
3666,28.53
3667,25.77
3669,69.5
3676,17.02
3677,6.51
3678,1.8
3679,-88.6
3681,7.71
3688,25.43
3689,78.6905
3690,42.2697
3691,-28.96
3693,0.336549
3694,152.18
3702,62.97
3703,27.05
3706,34.34
3707,9.51
3709,-15.72
3711,2.3
3713,13.9
3715,0.1083
3719,39.04
3721,235.12
3722,0.356558
3725,253.77
3726,28.13
3727,-9.51
3731,0.039158
3732,0.690439
3734,14.72
3735,25.63
3736,48.8
3737,16.3986
3740,-23.13
3742,187.19
3743,115.3
3744,0.176135
3746,226.8
3747,14.92
3748,499.8
3755,14.74
3756,69.7
3759,0.118268
3760,112.1
3762,64.4
3764,0.058857
3765,9.7
3766,10.61
3767,5.51
3768,1.1078
3770,203.1
3772,166.7
3773,29.93
3774,15.12
3775,655.8
3776,29.33
3778,42.95
3779,98.3
3780,33.04
3783,45.05
3784,37.6
3786,88.9326
3790,37.94
3791,123.1
3793,70.18
3794,46.65
3795,0.168574
3796,0.079037
3799,0.2
3801,32.24
3802,71.5289
3803,207.1
3805,-0.72
3807,-10.6117
3809,0.118987
3813,62.7092
3817,150
3818,7.44635
3821,30.6
3822,70.68
3824,223.5
3825,20.92
3826,16.82
3827,303.8
3828,13.21
3831,295.859
3832,123.24
3833,18.72
3834,0.252685
3835,10.61
3836,27.93
3843,394.9
3844,0.118846
3846,107.518
3847,2
3852,-5.89
3855,149.6
3856,681.5
3861,83.6
3864,149.9
3865,151.7
3868,-0.2
3869,22.32
3870,117.4
3871,118
3874,47.75
3875,189.7
3876,350.551
3879,96.5
3881,104.8
3884,90.5
3887,32.04
3888,48.8
3889,0.098631
3890,13.02
3895,151.2
3896,43.4288
3898,32.54
3900,-0.13
3901,26.6883
3905,0.1
3917,85.59
3918,36.19
3919,-61.67
3920,29.5
3921,0.173354
3923,0.12635
3928,36.24
3930,148.5
3932,0.038726
3933,-9.82
3936,27.9
3937,-11.77
3938,65.47
3940,55.56
3941,118.4
3942,34.54
3944,12.21
3945,-0.63
3949,159.3
3950,9.27
3951,20.12
3952,264.234
3953,90.4
3954,64.87
3955,8.51
3956,59.9
3957,16.52
3958,1.4309
3959,40.5
3960,142.2
3961,136.6
3964,34.9
3965,98.6
3966,85.39
3967,57.21
3969,103.1
3970,4.7
3972,1.5
3974,16.76
3975,26.63
3977,35.34
3978,2.9
3979,-9.41
3980,-28.13
